date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-11-30,2128,23719,672504598.534725,0.00844156739901322,0.00005677173848709761780020812973,0.0000010087890519076,45.9798851746083,676.58574619,355.702364919968,0.00000905837872589129,0.00672526034605066,65.0558369846208,-16.4498702710836,99996812603.640914,809908,11009,147796215.285403,993968.025955287,13444.5272309386,90.4179458576296,400,2.69010413842026,148010800.285403,995411.165946645,0.0467816586289427,0.0155669664814149,0.023550470828495
2016-12-01,2018,23369,666444159.140277,0.00751543859096411,0.00005008780081593757716762571093,9.99698158857129E-7,37.2026639682368,811.39793253,352.056499726875,0.00000884569199298656,0.00666465439238086,58.5198343476056,-16.5615396113604,99996807021.556416,742749,10658,123240155.06137,821353.040747458,11590.1725522021,77.2444944084858,200,1.33293087847617,123528059.06137,823271.821405642,0.0467853583894749,0.0149523692610551,0.0235119479934361
2016-12-02,1937,23528,660047930.192599,0.0330465253480675,0.0002181299333454898995737769464,9.90103790253303E-7,187.442541802713,480.26694805,347.222552627454,0.00000856133138515488,0.00660069193502202,51.9425044834286,-18.7307296329755,99996778624.14844,859316,8286,208210827.396496,1374335.52918031,25163.5321501926,166.096723720444,200,1.3201383870044,208505027.396496,1376277.4527476,0.0467881529792241,0.0147988953211695,0.0230495055361049
2016-12-03,1579,23542,653730041.86318,0.00541646048891416,0.00003541017148949982529034897579,9.80626690492074E-7,25.3506021015623,675.54290304,342.930984586429,0.00000853140385739334,0.00653751126994716,35.8641225942256,-19.8727413550969,99996774746.433962,715913,7045,148024313.921559,967710.620488388,21050.0942401077,137.615228328154,1000,6.53751126994716,148297913.921559,969499.283571846,0.0467711984402915,0.0145473698826326,0.0220514670783144
2016-12-04,1829,23520,642889649.670105,0.00976944883811958,0.0000628088055897659798968287233,9.64365645859537E-7,45.4113317206511,1338.4701474,337.676567228097,0.00000839252308591467,0.00642910430573025,23.9575055053216,-21.7452125140318,99996767683.034527,723009,4358,74709748.198365,480316.763822131,17519.7632396432,112.636385279365,200,1.28582086114605,76351128.198365,490869.367047471,0.046781322359741,0.0143871136356108,0.0220923223372408
2016-12-05,1906,23706,637782025.476794,0.00561169872880096,0.00003579156426600391711920858359,9.56704003432435E-7,27.6742880314241,335.89361352,333.355987415926,0.00000847433343074226,0.00637802668954957,20.032690831005,-22.8250260993132,99996763344.029788,773207,5737,297703675.564193,1898761.98832543,51956.2272205322,331.378203900856,600,3.82681601372974,298072875.564193,1901116.75577921,0.0467856959658815,0.0143414420943736,0.0221033788712131
2016-12-06,1616,23385,672189100.087608,0.00625221629842385,0.0000420280790707348535129552331,0.0000010083163409109,36.6989606726447,269.97171604,347.513638484646,0.00000884829456458211,0.006722108939406,21.5923402271821,-17.4626698634065,99996757884.588264,873201,935,370397163.640792,2489850.0848404,396664.542931328,2666.42226998408,3840,25.812898327319,370881347.640792,2493104.82243511,0.0469374200580185,0.0178087879767655,0.0232317138152919
2016-12-07,1705,23268,712696540.999904,0.00670756875320373,0.00004780616366070877025740735858,0.00000106907954475774,48.3101362380199,1163.97903277,370.908529822614,0.00000931819579193454,0.00712719696505163,1.19891453332961,-13.7893644366687,99996751106.308321,1010542,8570,85909409.268849,612293.281010319,10058.3464724445,71.6878164518439,500,3.56359848252582,86200029.268849,614364.586992302,0.0471342421787178,0.0215497684452156,0.0243282923272159
2016-12-08,2162,23493,688725075.692742,0.00579792260206939,0.00003993304653506546047140723201,0.00000103312123865225,40.0682598306332,274.45817979,354.898039641789,0.00000896886732904734,0.00688747492434835,-18.1457042497406,-15.7307276012887,99996745288.753953,1003386,23359,364342375.816623,2509398.97731449,15603.3734670415,107.467843489491,400,2.75498996973934,364479200.816623,2510341.35607102,0.0471827130546985,0.0222306819312036,0.0238212478343718
2016-12-09,1802,23262,686130704.99893,0.00348740528715538,0.00002392893816573899566984469972,0.00000102922959315366,24.8026315560465,1222.80564877,353.805590210558,0.00000888736616014027,0.00686153062102439,-11.3334261532877,-15.3633361923016,99996741674.016524,1036512,33299,81776479.994568,561111.821562317,2460.6108289909,16.8835565495453,400,2.74461224840976,81935879.994568,562205.549543308,0.0470656369831336,0.0222261906195769,0.0237982571814961
2016-12-10,1290,23508,670774555.811036,0.00277045501157535,0.00001858411329586505402745490639,0.00000100619464410456,16.8576491706792,2198.38981395,346.080840153787,0.00000864684921098773,0.00670796429403041,-23.2887803234231,-16.5519517046569,99996739160.936783,907100,8941,45486354.84317,305120.844153582,5140.67283784476,34.4834498435546,700,4.69557500582129,45962755.84317,308316.525051222,0.0444794155098565,0.022328330263958,0.0239243416007505
2016-12-11,1231,23521,679675378.089459,0.00288812440435555,0.00001963051108765266172466739295,0.00000101954633903831,17.4258869094428,2284.06670758,352.283195473357,0.00000881946288720047,0.00679697559358873,-20.1110886441672,-15.9771421779429,99996736597.166078,887694,7228,43780129.654321,297572.47274457,6084.41196102947,41.3555996004566,1000,6.79697559358873,43978129.654321,298918.273912101,0.0439091722672967,0.0226243764388541,0.0239964124293207
2016-12-12,1571,23618,670806753.235485,0.00336597924445242,0.00002257995365836901561493906405,0.00000100624299877593,20.7734444659312,1190.87467616,348.265127527694,0.0000086156341320865,0.00670828665850622,-21.6745492448909,-16.6302384286388,99996733500.482003,919995,28402,83969149.316991,563289.124089287,2962.96913305369,19.8764463048298,400,2.68331466340249,84154249.316991,564530.827949777,0.0439143779143926,0.0225026288388327,0.0237486437012061
2016-12-13,1717,23329,679432094.12462,0.0047735335317412,0.00003243397969156113196313232562,0.00000101918147665333,29.2722504832683,1310.26587446,352.941812239261,0.00000872410870835769,0.00679454317768885,-2.82262667689639,-16.2339130650745,99996729192.282067,902518,31872,76317891.766312,518545.210836391,2399.87976174423,16.3060866624328,400,2.71781727107554,76488967.766312,519707.594105058,0.0439139158696162,0.0226357601770563,0.0237623498262098
2016-12-14,1712,23466,663824421.814529,0.00377976694983888,0.00002509183769647446870284788722,9.95769237738747E-7,23.5465819637748,971.76222744,365.311162255642,0.00000853892752776154,0.00663846158492498,8.62039838602622,-16.5419986363408,99996725645.288285,938416,30633,102902461.962281,683114.040730806,4018.4984155088,26.6766473604371,400,2.65538463396999,123098661.962281,817185.738592268,0.043947197405739,0.0228019520077454,0.0239115213865672
2016-12-15,2419,23548,669761351.80993,0.00256818898766488,0.00001720130086375219535500582024,0.00000100467494485632,13.6800225639335,1435.47373822,397.268543911047,0.00000863156867329047,0.00669783296570882,-0.104015369946535,-14.4706681097593,99996723602.833265,795290,29834,69661130.636214,466578.617203783,2461.03726071643,16.4836164946642,400,2.67913318628353,73422585.636214,491772.214501813,0.0438583775341038,0.0226316657345767,0.0239328399249433
