date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-28,550,219380,4211419865.78223,0.00106717070504089,0.02386200611889008884598401473,0.0139750405008868,70.0588499650601,0,789.47299637,,0.00434288203974284,22.3600648014188,,,188345602,4464,1480,238571.30372604,5334469.81107322,171.187734397777,3827.76883434236,11.69572,261.51705709925,253357.84690871,5665097.8748267,,,
2019-04-29,491,218889,4023384418.04889,0.63302114798162,13.52241515618012867145216623,0.00213617115309594,42744.3543086875,0,859.04290066,,0.00414887148158971,21.3617115309594,,,188345602,5246,1210,219250.51921666,4683566.34451936,184.286333469207,3936.67149466738,9.778774045,208.891350275723,222986.46349774,4763372.50854753,,,
2019-04-30,472,215271,4106539487.38657,1.08392506109796,23.6330501880615911177421703,0.00218032141116126,65652.6134224322,0,416.27593963,,0.00413988887616886,21.8032141116126,,,188345602,4382,1193,452453.73097828,9864945.57211741,391.340700254417,8532.48507823547,10.84721905,236.504239462713,466869.45540352,10179254.6983349,,,
2019-05-01,467,219291,4070088523.926,0.000633563093922663,0.01369109684736722572225749062,0.00216096817802308,34.6932394112279,0,1983.87239732,,0.00406565737580363,21.6096817802308,,,188345602,3912,1158,94938.36511583,2051587.85888845,91.3547602970207,1974.14729912788,9.165,198.052733515815,105788.81242395,2286062.57239009,,,
2019-05-02,544,219969,4355303634.20154,0.278084148197212,6.430417744806995837090758799,0.00231239996472099,23149.503881306,0,292.26196084,,0.00428767753068381,23.1239996472099,,,188345602,6023,1239,644441.04001529,14902054.3819611,529.763343216094,12250.2473616337,6.75226859,156.139456493026,656376.78224474,15178056.4810641,,,
2019-05-03,621,219872,4392674265.92775,0.853973323508221,19.91672012582146095063820347,0.00233224148548356,70226.3551636468,0,974.68870614,,0.00412171101420168,23.3224148548356,,,188345602,5758,1304,193236.67219393,4506745.83407471,160.167789390345,3735.49963054356,6.60037574,153.936701206073,208858.79736501,4871091.51822881,,,
2019-05-04,506,219736,4264730098.38915,0.000318636507503401,0.007214921344408957836432259316,0.0022643109544916,21.1541493818077,0,1245.51710506,,0.00392108002337814,22.643109544916,,,188345602,4890,1058,151218.79999525,3424063.85354319,157.318931373686,3562.1897965835,5.522917395,125.056023582507,166443.42939336,3768796.80478534,,,
2019-05-05,418,219256,4283716364.3162,0.0047923089546598,0.10899586756443214413353635,0.00227439150095801,259.628156538485,0,1726.00692573,,0.00397041176797195,22.7439150095801,,,188345602,3901,930,109122.15889284,2481865.10752065,154.091370059591,3504.6410243451,5.2551889,119.523569700889,143304.97415542,3259316.15264095,,,
2019-05-06,415,222110,4139282216.8837,0.31794755863809,6.987551933239366369417142484,0.00219770579877076,22010.7885897044,0,537.52050504,,0.00386125461258669,21.9770579877076,,,188345602,5146,1157,350397.05506068,7700696.39779054,310.895191819533,6832.56165871736,6.18976,136.032714449993,359705.7369352,7905273.83913599,,,
2019-05-07,415,222460,3944465324.67704,0.0069371804407893,0.1452832846063545061788560866,0.00209426993929863,441.661185203329,0,237.74196348,,0.00359485349555702,20.9426993929863,,,188345602,5023,1153,792226.99787669,16591371.8675395,708.113813885958,14829.8147402347,15.07111975,315.629930439949,816455.22741051,17098776.3954906,,,
