date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-05-10,134895,179,30661620,171293.966480447,1.37670469974057,5821922727.22254,4228882728.677850524964057417,8000872135.96817,0.000177494790725685,0.0810263759601673,0.0456500022501461,4574.50610758317,4475,12.807379266077,2042837.60069404,2042837.60069404,124.76414398,48.2647030248523,1,456.500022501461,287.880024141649,24.2834093283159,12753389.79244827,56457,150535,102219.99194147,46663428.6213802,4.09907751270754,1871.22897678623,0.025,11.4125005625365,617054.63337543,281685454.020515,0.0802998280284653,0.0400676576941252,0.0517709411225713
2014-05-11,166228,152,33592329,221002.164473684,1.32555926122653,5606181691.06823,4229295403.874196440132908604,8000872135.96816,0.00018411279894729,0.0809088693781624,0.0439452715078901,4365.51895616814,3800,10.8723004248243,1669920.31729982,1669920.31729982,119.03510972,47.032215200073,1,439.452715078901,280.480334285199,3.93922584611457,12757189.79244827,53956,207851,107171.65567954,47096875.067875,2.02303877155708,889.029880870642,0.010011655,4.39964897218325,420490.63170691,184785749.768844,0.0797870063482783,0.0407732882603498,0.051885427257859
2014-05-12,155388,164,41971589,255924.323170732,1.33333017531325,5639127546.4813,4229355677.153595641820733695,8385556701.90602,0.000188578597980072,0.0833316054914405,0.0441893228521333,6146.95587907611,4100,11.7268710635,1811762.23693747,1811762.23693747,86.66255048,47.7014185132486,1,441.893228521333,284.615611432812,4.16924987802264,12761289.79244827,73765,184492,147252.64512816,65069946.7639888,2.6805118560549,1184.50003816181,0.03348517,14.7968698788857,494532.99334728,218530781.040548,0.0797826131093069,0.0405984832716458,0.0518765597637721
2014-05-13,147074,162,37039354,228637.987654321,1.32469487059022,5602197618.17369,4229047566.00864258428929389,8853416309.12778,0.000178946992347052,0.0785326854283235,0.0438860046756283,5325.8511276926,4050,11.5801852832347,1777383.18936295,1777383.18936295,105.70765236,47.6581963145097,1,438.860046756283,273.801788455189,5.40696725488219,12765339.79244827,67817,171706,120760.79174519,52997086.7116198,3.7040077114275,1625.5409974227,0.03231617,14.182275877184,636000.34809837,279115142.503463,0.0797739905594213,0.0357189627334349,0.0518330676785665
2014-05-14,159121,150,39161378,261075.853333333,1.34371754148207,5681376875.95885,4228103526.647791023292674564,8853416309.12779,0.00017326232221405,0.0770899544839913,0.0444932016949153,5345.34035396547,3750,10.7192448502437,1668495.06355932,1668495.06355932,70.17094187,48.4210262827165,1,444.932016949153,302.635951412913,-3.54788154834276,12769089.79244827,69339,183332,181971.18996661,80964808.5784813,3.55094500017416,1579.929121003,0.03363982,14.9674329624065,651001.84877193,289651565.611722,0.079640663451365,0.0265401886386971,0.0518956483428358
2014-05-15,176226,171,42359082,247713.929824561,1.3499971246791,5708947115.0248,4228858721.741247309152586688,8853416309.12777,0.000171236445841975,0.0765326779124311,0.0446941523085915,5719.66968378554,4275,12.2158493507459,1910675.01119229,1910675.01119229,88.99799052,48.9383365744968,1,446.941523085915,293.372607333245,-14.4164078583264,12773364.79190227,74735,196295,143524.19326756,64146921.5386805,3.73557016277526,1669.58141814507,0.0288,12.8719158648744,733273.74510197,327730484.474787,0.0789713508256762,0.0263117140405298,0.0518814292895815
2014-05-16,156212,181,38167368,210869.436464088,1.35609505382155,5734313266.32233,4228548176.001918717861264347,8853416309.12777,0.000178493720596541,0.0801023429252476,0.0448768408533022,5247.5845873759,4525,12.9256475591665,2030677.04861192,2030677.04861192,111.34774501,49.4376520189276,1,448.768408533022,285.130222789001,-15.3734887293769,12777889.79190227,65511,172867,114756.61039212,51499141.4143157,3.49420815389814,1568.09023230798,0.02880314,12.9259392985538,604033.28093991,271071054.188383,0.0741164691290139,0.0243175034841669,0.0518817818619106
2014-05-17,150165,173,33199717,191905.878612717,1.35843272807093,5746101283.74041,4229949091.332845802408388595,8853416309.12777,0.000174377820744018,0.0783895933487078,0.0449538783167738,4216.49783663365,4325,12.3501679927964,1944255.23720047,1944255.23720047,150.30502557,49.9908809084414,1,449.538783167738,269.717945250405,-10.1011649244285,12782214.79190227,53789,143186,85041.83238968,38229601.8508115,3.17961880076579,1429.36196663351,0.030576,13.7450978341368,455276.89760645,204664622.554386,0.0722239858468568,0.0236460707585674,0.0518883347145437
2014-05-18,177463,172,32125522,186776.290697674,1.34987584068661,5712250099.21152,4231685557.322086740205340863,8853416309.12777,0.000175802943099297,0.0785382409127323,0.0446740194038574,4012.44018999059,4300,12.2746504856348,1920982.83436587,1920982.83436587,154.82580029,50.1882944105396,1,446.740194038574,268.533618116838,-7.61365074719607,12786514.79190227,51089,189033,82586.46019151,36894691.2509141,1.36145616177562,608.217189886651,0.01019131,4.55286780690726,257360.14262893,114973120.055843,0.0721848227686435,0.022078779395195,0.0516437709741737
2014-05-19,181571,168,39390708,234468.5,1.35328425834055,5727146734.82047,4232035287.134216892627069091,8853416309.12778,0.000178577039337138,0.0799593239676439,0.0447758145528931,4931.25142773254,4200,11.98525668851,1880584.21122151,1880584.21122151,99.28553498,50.6904203941696,1,447.758145528931,271.122479115412,-11.171680946914,12790714.79102867,61672,169976,128827.57587384,57683596.4662583,2.79521248522839,1251.57915874518,0.0346,15.492431835301,475119.03738918,212738419.08687,0.0703711820588405,0.0221096959384264,0.0515506110760529
