date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-14,44788,579,8368077,14452.6373056995,1.97138502571718,1485245175.3181,753401875.3022525196764696583,224215.36138081,0.00496999691537816,0.143188055856797,0.0129647213534852,2389.23590002652,14475,10.2485862370687,417031.870203773,417031.870203773,28.59478297,51.3620187358886,0.011789100432497,28.8104918966337,457.186097346015,13.0856172816976,51552232.45222139,16686,46881,1802854.47546047,51941124.2560637,264.813205110492,7629.39869995744,1.07699709,31.0288159341431,12414707.86878499,357673840.452705,0.078297697656332,0.0899558041638609,0.0878716386775018
2017-06-15,46407,564,8804093,15610.0939716312,1.93746308635783,1491154601.98909,769642845.0630577851998614154,230314.867886204,0.00435597167953216,0.125962559429388,0.0130127457002459,2153.95976624254,14100,9.98034910620892,407732.698607703,407732.698607703,27.24226785,50.5809413768457,0.0119994072323712,28.917212667213,451.166045555684,23.2869972897331,51566332.45222139,17100,47909,1892879.57741799,54736801.2936203,290.952179545643,8413.5260519105,1.44404332,41.7577077851083,13939227.96985222,403083619.62098,0.0782908229384699,0.089180705915055,0.0877201294673119
2017-06-16,47405,556,9282202,16694.6079136691,2.19459280684199,1723835274.62685,785492082.746522461232962183,230314.867886204,0.00542503467723669,0.181307173273349,0.0124992533391089,3201.88468000734,13900,9.83613248486146,464544.442282391,464544.442282391,24.56971664,57.0368037233931,0.0134958066202377,33.4204634735533,485.389960148913,33.0701701984607,51580232.45222139,17660,49809,2099341.77126371,70160974.9850235,275.649536335322,9212.33526059652,1.42723841,47.6989691494573,13729827.75532604,458857206.995052,0.0789001247330889,0.0903084506470362,0.0889293608817156
2017-06-17,76063,599,14248537,23787.2070116861,2.84181416260983,2398082492.13413,843856197.1032648796103590527,229744.780063602,0.00466774030981696,0.216950892680612,0.0210084102762525,5938.16288356102,14975,10.5937649442762,696019.787360355,696019.787360355,14.8726646,74.9544319638181,0.0175209461223141,46.4787837970187,726.066153883589,63.6995925210431,51595207.45222139,27371,76551,3469130.03395907,161240944.812128,310.127412061555,14414.3449347379,1.68198548,78.1766394746447,23740563.52072409,1103432519.09912,0.082387553782729,0.108106297908513,0.0970515134458843
2017-06-18,52670,652,10413860,15972.1779141104,2.60994995171301,2218107642.93062,849865968.3013420883275333102,228363.538710552,0.00455464477888576,0.195744958704269,0.0189528560358335,3611.88597801116,16300,11.5274679886442,700525.064363007,700525.064363007,28.02772876,67.5349694653232,0.0171345005887055,42.9769978136814,670.347055099128,56.7454204846676,51611507.45212139,18452,51980,1841444.51683487,79139756.9740278,238.440009211894,10247.4357545937,1.03527419,44.4929766001908,12394111.67883426,532661710.523783,0.0826649837003625,0.1095012108414,0.0977999222484479
2017-06-19,60719,720,11748667,16317.5930555556,2.54307007245598,2456012602.49577,965766782.8727455078391786484,228363.538710553,0.00504677007869638,0.240074552845024,0.0177435878422908,5613.18312006951,18000,12.7252811894297,856258.93072717,856258.93072717,11.44553833,69.7670630621755,0.0183693099958362,47.5699405959539,751.917032498018,74.7477441942087,51629507.45212139,23381,61197,4510885.02521731,214582532.684765,419.645346604849,19962.5042093612,1.67290505,79.5799938511713,25681036.27617695,1221645370.10027,0.0829237768024797,0.109962319170245,0.0978599852317027
2017-06-20,67401,662,13379555,20210.8081570997,2.40579538171286,2345286935.73326,974848880.9815073623987573335,240848.536793763,0.004844263140206,0.219981691080906,0.028755004093425,4954.86760990633,16550,11.696439763287,751548.147162414,751548.147162414,26.26772213,64.8475485154023,0.0166143432474018,45.4107641789978,777.151380187827,74.6206682131632,51646057.45212139,22524,61144,1966141.45644998,89283986.0214013,511.130265938444,23210.8159712791,1.178123,53.4994657268534,31252548.9805402,1419202131.74789,0.0817457990100637,0.109144578994964,0.0966519426401433
2017-06-21,53911,515,9947039,19314.6388349515,2.29047920094005,2245242953.14408,980250312.7828437696928177829,271187.729027063,0.00446190827559582,0.193927122335362,0.0166897234046872,3767.42220560908,12875,9.09692627573263,559583.825092051,559583.825092051,26.2790753,60.5129636210066,0.0164677976873656,43.4628213663729,792.017854644952,80.4537865178436,51658932.45212139,19427,52656,1965781.97160398,85438430.6770601,234.716061192263,10201.422239418,1,43.4628213663729,12359208.91813982,537166089.438794,0.0818092567681345,0.100865675841351,0.0966612422731257
2017-06-22,53750,578,10375452,17950.6089965398,2.36980799243408,2376112076.9196,1002660166.775388475834241024,271187.729027063,0.00557231420299622,0.25623333418125,0.0390949922751595,4942.99724969049,14450,10.2068990836567,664458.525495241,664458.525495241,29.46724718,62.5924062731089,0.0171154901104554,45.9832889616084,1072.97840715724,49.3256330732565,51673382.45212139,19291,48265,1753587.02978532,80635699.109947,172.076013200167,7912.6210383448,1.35468665,62.2929476793833,8305248.77710604,381902654.415712,0.0818117799055187,0.100109250242544,0.096661239817056
2017-06-23,46963,517,8198111,15857.081237911,2.34868514893882,2365969872.50067,1007359319.136350876953353598,271187.729027063,0.00562973328894965,0.257704216231881,0.0206905549087819,4335.35802966893,12925,9.12741736168729,591649.164150456,591649.164150456,43.38623052,61.4030023827249,0.0170431018366458,45.7755639574821,1072.58678622576,35.776117935437,51686307.45212139,16823,47617,1191306.70809374,54532736.4093225,143.209996927907,6555.51837372422,0.8315315,38.063823360911,6819230.42371615,312154118.401626,0.0818079193256019,0.0938109760479044,0.0966997870781842
