date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-02-03,2495,5957,5450331,914.94561020648,118844343.694962,14090209635981.1,0.000528205218651253,0.000707639061703116,0.000562676011937588,12.1614849144276,31502.5,12.9618943808982,42204.0501572949,42204.0501572949,165.26799088,78.842352732196,0.00131786204324956,1.33970479032759,,-22.0695419359997,88709351.90573,17186,24048,536760.636075975,719100.795410268,41.092469812797,55.0517786545961,1.02912521,1.37872397368389,988191.714058143425594199,1323885.17308573,0.0537801532249877,0.0494542965959506,0.0640080900681141
2017-02-04,2427,5979,5404164,903.85750125439,122290426.974826,13926748351079.6,0.000506593870462681,0.000698117356075476,0.000578785703198317,11.7409376944748,31574.21875,12.9867811246234,43511.2057194196,43511.2057194196,213.82250131,83.4648085761846,0.00133172797011235,1.37806119809123,,-13.473674437319,88740926.12448,16818,23487,415021.457419857,571924.966845577,30.3769691119862,41.861322448844,1.02911181,1.41817905385843,713463.873533220000645262,983196.880355999,0.053254266101305,0.0479907912946199,0.0637492092921467
2017-02-05,2411,5993,5334852,890.180543967963,121712612.117806,14334588452624.3,0.000502024829698819,0.000688306369715802,0.000575845372935181,11.0445640084574,31684.53125,13.0275023127345,43441.4064617444,43441.4064617444,272.33920135,83.1694658884749,0.00134760073158714,1.37106041175043,,-7.19008759713132,88772610.65573,16046,21798,325963.394967337,446915.506519485,27.3167512786192,37.4529162557477,1.02718568,1.40833362136495,595450.544371340905614366,816398.668542788,0.052262086002011,0.0477142951038405,0.0637432257046707
2017-02-06,2793,6113,5680479,929.24570587273,129208079.956122,15182222704845.2,0.000515765391096193,0.000750419511806407,0.000611084420164029,13.6486300807324,32457.5,13.3404407496484,47224.4584939856,47224.4584939856,69.8910462,87.4060834180103,0.00142090899954087,1.45496290515245,,1.42563366552998,88805068.15573,18188,25181,1270621.53135887,1848707.19461516,70.7841964131795,102.988380052201,1.05142322790399,1.52978179421596,1782416.84988027232226148,2593350.39809448,0.0520004553870431,0.0489841635783551,0.0640447296909851
2017-02-07,2790,5965,5773720,967.932942162615,129856667.086792,15358105277998,0.000530737925987875,0.000775803711016429,0.00061393305937278,15.3112620406186,31653.28125,13.0052611908308,46269.0376119037,46269.0376119037,73.25033347,87.0704436483375,0.00138729782143968,1.461745379459,,0.617099381801876,88836721.43698,19736,27649,1212782.48482141,1772779.1934765,65.1998601504906,95.3055943163526,1.02780707,1.50239223554779,1802710.933300914176893742,2635104.37725283,0.0520015004058748,0.0484472199726317,0.063779487484911
2017-02-08,2800,6009,5824810,969.347645198868,127884650.768754,15167023937092,0.000525514143916681,0.000756228891433401,0.000604391219682159,14.9355206058078,32129.6875,13.1962276873292,46235.4786098372,46235.4786098372,73.1673216,84.8756474035154,0.00136328707831677,1.43902671352895,,2.8574856228174,88868851.12448,19750,27691,1214597.57151787,1747838.3516016,59.9227349693608,86.2304163686256,1.02803984,1.47937679233203,1659320.454036570309438917,2387806.45966361,0.0519931953918479,0.0484242331124731,0.0629938584492701
2017-02-09,4113,5878,5977854,1016.98775093569,112422784.477688,14733432549381.6,0.000500888672344928,0.000633423744600059,0.000531131940929226,13.5381656933354,31035.78125,12.7424910768023,39247.8446037319,39247.8446037319,41.76142398,73.5130251205581,0.00128277953766664,1.2645998593553,,-11.3349933611954,88899886.90573,21373,29015,2128756.12083128,2692024.69100497,119.842441009496,151.552734045404,1.02782525,1.29978766659183,3477228.425890525902369925,4397302.57832741,0.0527922047546466,0.0439671903257958,0.0652798917069275
2017-02-10,2825,5986,5765547,963.171901102573,112454805.762546,14021656691125.6,0.000514436773273951,0.000650510651518263,0.000531094369282533,12.9061313261206,31612.1875,12.9745349568479,39973.9399570326,39973.9399570326,24.488893,71.4556713099157,0.00126371854061952,1.26451040305365,,4.8547846147465,88931499.09323,19840,27926,3631503.43642083,4592073.87407922,178.642940674165,225.895856914578,1.02764779449717,1.29947132681681,4988782.761266741929916562,6308367.70019651,0.0527061984511481,0.0438677243021044,0.0646126328709059
2017-02-11,2617,6021,5825239,967.486962298622,110528347.192559,13865004240948.8,0.000514322214066592,0.000638996437305291,0.000521810056669016,12.9716276772958,31726.5625,13.0168338964159,39417.2366096145,39417.2366096145,59.37535339,69.5496858587521,0.00122252818567813,1.24240489683099,,1.28052482658175,88963225.65573,20300,28662,1498319.09318274,1861518.9783856,83.1739691649621,103.335746579419,1.02464219,1.27302047435563,2383932.304206143352608236,2961809.1684593,0.0527178004015973,0.0439413338266532,0.0646710865052347
2017-02-12,2763,5996,5848160,975.343562374917,109271652.29627,13599344392927.5,0.000523258169929368,0.000642479478247714,0.000515694539275831,13.1496274812948,31499.84375,12.9192408923349,38676.8985950402,38676.8985950402,21.46694479,66.586593380022,0.00121746880050387,1.22784414113293,,1.28904643189449,88994725.49948,20467,28784,4145663.31565453,5090228.41323613,190.289325708314,233.64563369109,1.0282166828463,1.26248982984797,5477287.951188122534706365,6725255.92016433,0.0525105575222135,0.0440038340793245,0.0636511055048385
2017-02-13,2941,6034,5977030,990.558501823003,106909740.431091,13479658395329,0.000514530959656442,0.000617886289252729,0.000504366620930693,13.1523275530324,31964.84375,13.1052473407344,38385.7148351549,38385.7148351549,26.64254356,63.8466318147495,0.00119878135839051,1.20087290697784,,-1.04498886882502,89026690.34323,21286,29749,3341523.68490488,4012745.26122703,155.955518846326,187.282757276225,1.02624757714904,1.23239291124993,4639520.73015935270437166,5571474.74621041,0.0524740718368626,0.0440924066384304,0.0636936572510486
2017-02-14,2828,5941,6022733,1013.75744824104,111188967.019731,13348238293812.3,0.000516543285750211,0.00064490232432228,0.000524368399875667,14.1388385584405,31624.6875,12.9611827188927,39483.3018593881,39483.3018593881,41.05994923,65.5773044986358,0.00123430805448527,1.24849619018016,,4.60984464521485,89058315.03073,21924,31003,2168982.58991509,2707966.50007609,89.4265392213887,111.6486935189,1.02291728,1.27710832694945,2772490.995480713420377453,3461444.44516647,0.0523850881036139,0.0445922028099218,0.0632847304399001
2017-02-15,2706,6096,5982658,981.407152230971,112637725.590899,13015506265519.5,0.000517435598868708,0.000654197346176951,0.00053100885597173,13.7996388202552,32185.46875,13.1862499681642,40692.3069996461,40692.3069996461,69.53122949,68.0891546836625,0.00124689226128029,1.26430679993269,,7.27530633847646,89090500.49948,21094,29561,1281301.95809046,1619958.77838084,64.9626240036982,82.1326872693463,1.02388448861008,1.29450412129533,1920360.128173323725963391,2427924.36836915,0.0523745112570208,0.0444376030036695,0.0630147626050026
2017-02-16,2593,5974,5918592,990.725142283227,110124325.968889,13161768114891.1,0.000515529310841906,0.000637016355545602,0.000518975087744719,13.2709617350801,31729.0625,12.9946343010258,39206.1737976076,39206.1737976076,59.0976539,66.2208806766629,0.00119230186392624,1.23565497082076,,2.338264250442,89122229.56198,20833,28717,1508050.2131646,1863429.74214414,80.4986880290544,99.4686040076507,1.02676598,1.26872848705665,2311680.824130356958021608,2856439.90128771,0.0523919338859196,0.0446618743450087,0.0608260859051187
