date,AdrActCnt,CapMrktCurUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-10-17,97,217751314.302131,0,1426.95607266,432.179247721458,0.0000337979848042081,0.217751314302131,,2.25301501671945,1000000000,100,100,700792.420425,152598.470600515,7409.29607625,1613.38395865706,2606.657234,567.603038638657,740929.607625,161338.395865706,0.0641292163525631,0.0245984969177027,0.0518225055627641
2018-10-18,68,218319945.373499,0,598.70745568,438.55113157873,0.0000341312646622557,0.218319945373499,,1.85006515576513,1000000000,59,59,1670264.818836,364652.124007553,28479.0647260339,6217.54785527606,3243,708.011582846257,1680264.818836,366835.323461288,0.0641230282570181,0.0246013079371818,0.0506603298547233
2018-10-19,60,217790615.905985,0,1310.79560318,438.502828726567,0.00003412,0.217790615905985,,1.5912618317938,1000000000,47,47,762895.448819,166151.469670163,16696.9989110426,3636.44967661752,1565,340.842313892867,784758.948819,170913.134801023,0.0641167193781792,0.0233058095362929,0.0473955426412897
2018-10-20,50,218758741.910306,0,2383.08040699,440.350046369112,0.0000341370340043163,0.218758741910306,,-2.11685990139486,1000000000,62,62,419624.951414,91796.6264454999,6796.76282114516,1486.85128381646,4661.34125,1019.70914746461,421399.294911,92184.7795966204,0.0630229728629619,0.0227108988132248,0.0473923369176316
2018-10-21,32,217674644.210633,0,4731.8898525,439.716253144532,0.000033930333722969,0.217674644210633,,-5.19557511235803,1000000000,37,37,211332.053613,46001.6295805122,6213.92036791892,1352.61290523996,3989,868.304155756215,229915.053613,50046.6774938784,0.0614531616722889,0.0209461839011313,0.0473674115350407
2018-10-22,109,217490007.785634,0,653.88423102,437.597509142503,0.0000339402100790471,0.217490007785634,,-0.662606236958195,1000000000,153,153,1529322.703567,332612.406705534,10245.2120632288,2228.23125139709,4710.6825,1024.52637360065,1567517.445674,340919.381463755,0.0611382615101935,0.0203768201705417,0.0346511182282882
2018-10-23,86,213985643.69293,0,801.9435956,428.676377787854,0.0000334562314436002,0.21398564369293,,-4.67838232475065,1000000000,102,102,1246970.492046,266833.783406553,15373.542458402,3289.71737880173,1614,345.372828920389,1568101.330757,335551.172637777,0.0609651869705258,0.0189977943733263,0.0344750292836258
2018-10-24,77,218444013.810308,0,1243.13017305,437.161836396157,0.0000340584193143919,0.218444013810308,,1.54618605359853,1000000000,89,89,804420.986374,175720.949056784,9075.325894,1982.45061492198,3747,818.509719747224,807704.004566,176438.104728056,0.0609994450667433,0.019248200087988,0.0341878271365753
2018-10-25,91,220633201.605648,0,284.75112717,434.830219541694,0.0000344614193218327,0.220633201605648,,1.28370280248799,1000000000,134,134,3511838.600798,774828.194016362,28105.241514291,6200.949417198,3507.75,773.926112932212,3766102.362915,830927.221904533,0.059223054456762,0.0192999931753989,0.0331466810927146
2018-10-26,82,218316060.5482,0,686.01567698,427.815808235567,0.00003409,0.2183160605482,,0.789431995114358,1000000000,97,97,1457692.635248,318237.713617468,16109.4004648247,3516.94084727388,3727.472797,813.76717684162,1562611.845088,341143.262185566,0.0592008181969179,0.0162575198851074,0.0326911740053063
2018-10-27,44,218692455.220431,0,3722.58158343,428.184545762987,0.0000341205531625804,0.218692455220431,,-4.48240143047273,1000000000,42,42,268630.781512,58747.5251566424,8510.70766516667,1861.22755495864,1557.7995065,340.678998817661,357449.721937,78171.5573082629,0.0591900045373162,0.0160910997859656,0.0322181579991781
2018-10-28,67,218800602.793358,0,814.06143177,429.02379075025,0.0000341521972853005,0.218800602793358,,-3.08494430539738,1000000000,62,62,1228408.521735,268776.525032116,21667.3007521452,4740.81846547434,8815,1928.72731362345,1343372.646633,293930.744859409,0.0591806885216335,0.0153243852436426,0.0320814882020394
