date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-04-23,5244,4320,3896856,902.05,8937361823.00886,0.177177072527473,0.05089582580426942257876732053,0.0491920679202241,115.788003704713,0,0,0,0,39.36756085,31.0119070463303,0.0000321651089865745,0.287259661073684,,53.1294733256054,31112484745,2275,5347,790307656.103833,227023509.436325,534054.478944068,153412.308616356,361189.156726,103755.0747446,2855589298.913933,820295614.171655,,0.0805659061643557,0.0775794314145778
2018-04-24,7520,4320,4700433,1088.06319444444,9696102772.76319,0.178346064230659,0.05558095992883368244945412311,0.0533682484389629,194.700102630705,0,0,0,0,36.00205584,34.0450417453713,0.0000322875863613495,0.311646686281507,,72.0736322587542,31112484745,3503,8171,864186336.675618,269320808.154711,388161.00925947,120969.092279399,121014.866231,37713.882051691,3171663606.659133,988438453.014972,,0.0787060375264794,0.0778763586464231
2018-04-25,6070,4320,4126538,955.21712962963,8365029697.84207,0.178064764595808,0.04787521974510783566529694896,0.0460418988511315,127.922587158928,0,0,0,0,32.1617551,29.4882047923376,0.0000303612232196419,0.268864083547245,,62.6949333513078,31112484745,2672,6435,967375214.561494,260092450.509396,408421.560333466,109809.888519993,200140.239003,53810.5219404682,2628192740.745852,706626632.626156,,0.0829334451095292,0.0794483206740488
2018-04-26,5676,4319,4181461,968.154896966891,9087135849.29906,0.176656285173979,0.05159663958586419660751667943,0.050016438044189,136.421515065025,0,0,0,0,41.6694393,32.3158059119627,0.0000315253326079422,0.292073613656313,,90.5488544364934,31112484745,2644,6038,746649949.388429,218076748.854182,618427.845862882,180626.455726861,355492.188988,103829.888264318,3734067333.320083,1090622539.67879,,0.0837618624896218,0.0802334536932421
2018-04-27,5798,4320,4197600,971.666666666667,8918946174.95681,0.177533519922631,0.05089313571122070515544861811,0.049090706486312,131.558755813505,0,0,0,0,45.37438887,32.0375901614733,0.000031918182545583,0.286667755663268,,82.208312637523,31112484745,2585,6026,685683830.061275,196563444.658259,325286.688684572,93249.2049923424,199989.657948,57330.5863998178,1960177586.013231,561919709.283855,,0.0811099682174509,0.0802467641719944
2018-04-28,8187,4320,4804958,1112.2587962963,11136269809.6909,0.178901074766355,0.06403508604892090944466460276,0.0612950613061145,246.663151460444,0,0,0,0,38.73365872,40.1766800792397,0.0000383153974640942,0.357935725833681,,150.294485244712,31112484745,3852,9439,803241567.413457,287508853.451919,429794.198498269,153838.698398583,62766.988762,22466.547680921,4056827439.625162,1452083474.18423,,0.088761636257165,0.0846731686788785
2018-04-29,7963,4319,4810127,1113.7131280389,11284225551.6783,0.1790920581363,0.0649551199490447735839501485,0.0621094234247317,233.513656216817,0,0,0,0,47.5702344,41.0538649023636,0.0000385965018226566,0.362691236144095,,155.597771299323,31112484745,3595,8806,654032613.841856,237211897.192856,572863.47888663,207772.563299198,99988.657948,36265.0099515492,5044635795.075664,1829645192.41274,,0.0886052969075328,0.0846748086597376
2018-04-30,6129,4319,4176503,967.006946052327,10471263076.1805,0.177767991345114,0.05982985348664619018822589575,0.0576348026022505,165.90818371847,0,0,0,0,47.12915243,38.4901103096766,0.0000364688945678667,0.336561453127375,,122.455481639971,31112484745,2773,6830,660153708.300206,222182291.352943,1077908.719547,362782.524989408,310433.452118,104479.933744181,7362116554.506041,2477804645.67766,,0.0901151877182256,0.0851194434790488
2018-05-01,5958,4320,4327865,1001.82060185185,11030574107.6689,0.17774369551282,0.0630169856761497392372684726,0.0607133023647502,176.951695778629,0,0,0,0,43.7061885,41.0153917176259,0.0000390797970647555,0.35453851397843,,140.982839083293,31112484745,2808,6633,711855364.521527,252380143.105036,596822.426546602,211596.536216833,147119.962464,52159.692868549,3958723155.283612,1403519824.72625,,0.0902192855219748,0.0853627726395869
2018-05-02,6299,4320,4331089,1002.56689814815,11552147857.9211,0.177257180282661,0.06581605976785750791831062845,0.0635840926332789,190.932389386555,0,0,0,0,49.01605116,43.2928571932441,0.0000403408838777308,0.371302644343686,,144.393959750233,31112484745,2901,6835,634740743.218207,235680916.429597,430610.18872952,159886.701756604,335377.790112,124526.660322727,2943220639.966266,1092825606.50639,,0.0889737611763521,0.0854825593872661
