date,AdrActCnt,CapMrktCurUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-12-08,572,185733632.911832,0,15.65667578,,0.000293583227154194,1.00051730970142,,0.116354267310643,185637600.78,858,844,11856769.816189,11862903.4382424,20593.8958293472,20604.5492514497,572.955903,573.252298647108,17381248.079969,17390239.5682236,,0.00171361180827458,0.00169091013041018
2018-12-09,415,185628912.54033,0,8.6525762,,0.000282437583352631,0.999953197845512,,0.0614273030767279,185637600.78,543,543,21454604.564894,21453600.4431767,42016.7484940203,42014.7820196662,425.735753,425.715827649517,22815094.432253,22814026.6366787,,0.00171333377052631,0.00169100925918643
2018-12-10,410,191312856.433893,5547571.39833928,23.82935015,,0.000293210230874956,1.00090026971498,,0.0934608915736176,191140778.18,551,551,8021233.350941,8028454.62440364,25991.058416372,26014.4573791246,426.483524,426.867474200595,14321073.187421,14333966.0158976,,0.00172128808691599,0.00158641215413939
2018-12-11,615,190817019.309811,350296.098708798,31.68510192,,0.000298463775908826,1.00061897016108,,0.0936598861386216,190698982.33,812,810,6018569.320896,6022294.63571803,11655.582113963,11662.7965715015,196.1496045,196.271015252293,9441021.51231,9446865.22291623,,0.00172175344614042,0.00151200578924062
2018-12-12,647,200854988.994591,11536487.260653,7.12270765,,0.000292611083684095,1.00161151936678,,0.213138632983065,200531828.07,913,912,28153876.029092,28199246.5455628,51932.0971254309,52015.7867057061,499.990574,500.796318493208,47362072.578393,47438397.4756039,,0.00172709873676358,0.00151530269287319
2018-12-13,613,200880288.447605,389275.452692193,15.28721461,,0.000306630352896716,1.00004581205679,,-0.0096422882094695,200871086.13,829,830,13139809.39758,13140411.3592743,23071.1867243855,23072.243662902,198,198.009070787244,19149084.98124,19149962.2402086,,0.00175181247169694,0.00151178756915911
2018-12-14,767,202900319.112512,2040461.86969341,10.43411371,,0.000312553877343709,0.999945098628092,,0.0138088809778917,202911459.23,1046,1048,19446928.115603,19445860.4525701,29596.6471188607,29595.02222233,200.8,200.788975804521,31017286.180566,31015583.2890018,,0.00161094380541437,0.00150793293982708
2018-12-15,614,202909003.75212,49986.8775790857,26.79521715,,0.000313883299662473,0.999741550547916,,-0.364572578963541,202961459.03,840,843,7574540.557647,7572582.92179009,13518.7363323559,13515.2424223579,249.985974,249.921365261991,11396294.728176,11393349.3620477,,0.00150676506219042,0.00150520656274808
2018-12-16,535,202728005.743442,0,50.0635434,,0.000312588475819161,0.998849765429978,,-0.145586506831425,202961459.03,725,725,4054076.984208,4049413.84471123,8793.92152764276,8783.8064550956,349.286246,348.884484885018,6375593.107541,6368259.67994431,,0.00151500332995825,0.00148491096306748
2018-12-17,759,212718147.355069,10043775.4885472,6.45505725,,0.000286032806989005,1.00087355060646,,0.0811688102626098,212532489.47,1097,1098,32924958.115395,32953719.7325244,38706.5272122923,38740.3393226126,301,301.262938732545,42499766.879097,42536892.5762286,,0.00156209687202156,0.0014340094038853
2018-12-18,804,215532972.585898,2803738.83806764,11.10328445,,0.000273690446141014,1.0015776811087,,0.123178871802371,215193465.92,1160,1160,19381063.94205,19411641.0804979,23703.9324688328,23741.3297152907,350.9741615,351.52788680424,27496561.663846,27539942.4697373,,0.00146223417813572,0.00143567684711024
2018-12-19,1080,223861094.123168,8793406.31731866,7.65248017,,0.000270682734876184,1.00091039792661,,-0.24083733435138,223657476.82,1578,1578,29226796.005231,29253404.0197156,30185.078925519,30212.5593587874,450,450.409679066975,47632054.544469,47675418.6681665,,0.00133506334352058,0.00142265386250441
2018-12-20,1259,226806418.29018,3595754.64326463,1.20500002,,0.000245966968512965,1.00052911268686,,0.0446039794524243,226686475.6,1970,1968,188121553.648015,188221091.148722,143691.831221731,143767.860392628,999.9,1000.42905977559,282785523.844366,282935149.252692,,0.00133715905880889,0.00142329346939864
