date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-02-03,2607,4209,7102662,1687.49394155381,691753254.020618,,0.0540149117327836,0,935.376226476709,0,0,0,0,91.57584632,11.9714387430925,0.00202680595609373,6.91753254020618,-94.38347522226,-8.46221806343042,100000000,17317,4600,1091991,7553883.27611229,493.567391304348,3414.2684901325,30,207.525976206185,2270410,15705635.0546095,0.062683629725223,0.051689296296985,0.0584983410415034
2019-02-04,2558,4716,37690219,7991.98876166243,696444252.774794,,0.0004648454676116,0,8.42997255513646,0,0,0,0,172.35198412,12.1047433034743,0.00204152755591012,6.96444252774794,-93.5825523437588,-10.1203044479961,100000000,18135,4840,580208,4040825.27013958,255.081611570248,1776.50122366632,30,208.933275832438,1234595,8598265.92254497,0.0625866784797431,0.0474954548269063,0.0584809082164622
2019-02-05,2818,5083,8019657,1577.74090104269,691798299.980236,,0.000767657341757411,0,14.6515080247814,0,0,0,0,9.15978736,11.8979224351764,0.00201898544908304,6.91798299980236,-91.4929484701017,-19.4621136976429,100000000,19086,5127,10917284,75525585.1160143,2332.22079188609,16134.2637900536,30,207.539489994071,11957296,82720370.4516048,0.0618297219010033,0.0474179559316583,0.0584351171514048
2019-02-06,2801,4626,7596530,1642.13791612624,678151946.755494,,0.00065858016688626,0,11.6891393820638,0,0,0,0,8.65467118,11.6082443330228,0.00201381043791215,6.78151946755494,-93.609584700842,-19.3483641182522,100000000,17749,5224,11554454,78356754.737968,2408.87155436447,16335.809340762,36.5,247.525460565755,12583945,85338267.9961406,0.0617478888039528,0.0447353553737825,0.0580726391660933
2019-02-07,2634,3751,6765282,1803.59424153559,684367737.365228,,0.000530889509839979,0,8.71242774598394,0,0,0,0,158.93728176,11.8172459097291,0.00203749178759141,6.84367737365228,-93.2976811125362,-24.5369787477816,100000000,16411,4782,629179,4305898.08627717,373.399414470933,2555.42512414973,35,239.52870807783,1785596,12220042.943684,0.061750427565516,0.0448099235386427,0.0577670133189462
2019-02-08,3149,3747,7152284,1908.80277555378,744080514.4327,,0.000527792041320538,0,9.53456322645561,0,0,0,0,79.90986168,12.9610219546244,0.00205975006882282,7.440805144327,-93.1958733702,-18.2259659148329,100000000,18065,5817,1251410,9311497.96566225,632.347773766546,4705.17656804584,36,267.868985195772,3678367,27370012.0963227,0.0611743473850894,0.0392253477781918,0.0584195486529078
2019-02-09,2994,3594,6544954,1821.07790762382,756082675.766159,,0.000646721804016862,0,10.0765724283869,0,0,0,0,245.84944672,13.2905634138596,0.00208789476643655,7.56082675766159,-93.3914277300963,-3.34729803355429,100000000,15581,5020,406753,3075388.96615912,257.430677290837,1946.3887531035,27,204.142322456863,1292302,9770871.54057959,0.0611865773289975,0.0393565177128814,0.0583278127422441
2019-02-10,3188,3315,6974639,2103.96349924585,786834013.850866,,0.000714886361175285,0,12.0665668902776,0,0,0,0,149.46096902,13.9238630533922,0.00216043158514605,7.86834013850866,-92.6745305120524,1.08429841925036,100000000,16879,5892,669071,5264478.20481213,323.495587236931,2545.37331368678,30,236.05020415526,1906036,14997339.5642425,0.0612688327926955,0.0398787864697092,0.0580383892498961
2019-02-11,3271,4837,7957754,1645.18379160637,804482795.38142,,0.17110980479561,0,3147.05152980098,0,0,0,0,38.72735708,14.2579679158804,0.00224051315685014,8.0448279538142,-92.1586751899187,5.50636331647231,100000000,18392,6467,2582154,20772984.6802532,689.595020875213,5547.673300748,40,321.793118152568,4459611,35876803.2359373,0.0612903576919651,0.0370178036357389,0.0580382301386663
2019-02-12,3330,4318,7099368,1644.13339509032,809075111.907705,,0.000897586374101371,0,15.3971966613345,0,0,0,0,56.33612385,14.4531200076896,0.00225500865649972,8.09075111907705,-92.7704530283864,14.7198461778873,100000000,17154,6153,1775060,14361568.6814289,668.360149520559,5407.53562767997,31,250.813284691389,4112420,33272566.7171148,0.0583285320754065,0.0317389296858232,0.0580104602573046
2019-02-13,3223,4505,6801193,1509.6987791343,815611227.131243,,0.000881002702888713,0,13.8414334650843,0,0,0,0,8.34155254,14.4377117470745,0.00228073757238276,8.15611227131243,-92.4696470030725,4.25490972179234,100000000,15711,5165,11988176,97776909.3842532,2592.62904162633,21145.7735413695,39,318.088378581185,13390929,109217920.341173,0.0580284589581622,0.0303468113294961,0.0579914505611041
2019-02-14,2612,4756,11921239,2506.56833473507,782036591.207587,,0.0596614566221901,0,2029.26512409059,0,0,0,0,61.72012761,13.9257011276121,0.00219555011131611,7.82036591207587,-93.5948199124919,4.81919914038609,100000000,34013,4753,1620217,12670689.7969658,545.62108142226,4266.95650606461,33,258.072075098504,2593337,20280844.2733251,0.0579996991611275,0.0313232569242138,0.0555908290617084
2019-02-15,2930,4936,9614563,1947.84501620746,801313007.007057,,0.000323015158447354,0,8.38450446781829,0,0,0,0,34.60819543,14.2813843514285,0.00224771795441262,8.01313007007057,-93.4128974278083,5.48198450120694,100000000,25957,5414,2889489,23153851.1930381,1018.95659401552,8165.03172360242,40,320.525202802823,5516631,44205481.7515835,0.0573789557051055,0.0314984295338212,0.055435364990758
